ClientId,ProductLine,ProductSales
94066.0,Yak Chew,67.98
94067.0,Pumpkin,19.99
94068.0,Pumpkin,19.99
94069.0,Yak Chew,125.94999999999999
94070.0,Omega Oil,11.99
94071.0,Pumpkin,19.99
94072.0,Yak Chew,209.93
94073.0,Yak Chew,24.99
94074.0,Yak Chew,17.99
94075.0,Yak Chew,14.99
94076.0,Omega Oil,11.99
94077.0,Probiotic,29.99
94078.0,Probiotic,29.99
94079.0,Yak Chew,89.97
94080.0,Yak Chew,14.99
94081.0,Pumpkin,33.99
94082.0,Yak Chew,14.99
94083.0,Pumpkin,0.0
94084.0,Omega Oil,0.0
94085.0,Yak Chew,35.98
94086.0,Yak Chew,67.97
94087.0,Hip & Joint,24.99
94088.0,Yak Chew,35.98
94089.0,Pumpkin,240.92000000000004
94090.0,Pumpkin,67.98
94091.0,Omega Oil,79.96
94092.0,Omega Oil,11.99
94093.0,Pumpkin,19.99
94094.0,Yak Chew,17.99
94095.0,Pumpkin,19.99
94096.0,Bone Broth,19.99
94097.0,Bladder,29.99
94098.0,Yak Chew,14.99
94099.0,Yak Chew,57.980000000000004
94100.0,Yak Chew,29.99
94101.0,Yak Chew,17.99
94102.0,Probiotic,29.99
94103.0,Yak Chew,14.99
94104.0,Pumpkin,169.95000000000002
94105.0,Pumpkin,19.99
94106.0,Pumpkin,107.96000000000001
94107.0,Pumpkin,19.99
94108.0,Pumpkin,79.96
94109.0,Pumpkin,19.99
94110.0,Omega Oil,11.99
94111.0,Pumpkin,39.98
94112.0,Pumpkin,33.99
94113.0,Pumpkin,19.99
94114.0,Pumpkin,19.99
94115.0,Allergy,31.99
94116.0,Yak Chew,69.99
94117.0,Yak Chew,14.99
94118.0,Yak Chew,17.99
94119.0,Allergy,63.98
94120.0,Pumpkin,19.99
94121.0,Yak Chew,17.99
94122.0,Omega Oil,0.0
94123.0,Allergy,31.99
94124.0,Allergy,63.98
94126.0,Pumpkin,19.99
94127.0,Yak Chew,32.98
94128.0,Yak Chew,35.98
94129.0,Yak Chew,14.99
94130.0,Allergy,31.99
94130.0,Pumpkin,33.99
94131.0,Bone Broth,39.98
94132.0,Probiotic,59.98
94133.0,Probiotic,25.49
94133.0,Pumpkin,16.99
94134.0,Yak Chew,17.99
94135.0,Yak Chew,49.98
94136.0,Omega Oil,0.0
94137.0,Bladder,59.98
94138.0,Yak Chew,14.99
94139.0,Omega Oil,19.99
94140.0,Omega Oil,11.99
94141.0,Pumpkin,19.99
94142.0,Yak Chew,14.99
94143.0,Omega Oil,11.99
94144.0,Omega Oil,11.99
94145.0,Pumpkin,19.99
94146.0,Bladder,29.99
94147.0,Omega Oil,11.99
94148.0,Omega Oil,11.99
94149.0,Probiotic,59.98
94150.0,Bladder,29.99
94151.0,Pumpkin,19.99
94152.0,Pumpkin,19.99
94153.0,Probiotic,29.99
94154.0,Bladder,29.99
94155.0,Pumpkin,33.99
94156.0,Pumpkin,19.99
94157.0,Pumpkin,33.99
94158.0,Pumpkin,19.99
94159.0,Pumpkin,19.99
94160.0,Yak Chew,17.99
94161.0,Yak Chew,249.95000000000002
94162.0,Pumpkin,33.99
94163.0,Yak Chew,139.94
94164.0,Pumpkin,19.99
94165.0,Yak Chew,14.99
94166.0,Yak Chew,17.99
94167.0,Pumpkin,19.99
94168.0,Pumpkin,19.99
94169.0,Yak Chew,57.980000000000004
94170.0,Bone Broth,19.99
94171.0,Omega Oil,11.99
94172.0,Yak Chew,14.99
94173.0,Pumpkin,33.99
94174.0,Yak Chew,17.99
94175.0,Pumpkin,59.97
94176.0,Allergy,31.99
94177.0,Yak Chew,17.99
94178.0,Yak Chew,14.99
94179.0,Omega Oil,11.99
94180.0,Pumpkin,19.99
94181.0,Pumpkin,101.97
94182.0,Yak Chew,29.99
94183.0,Yak Chew,17.99
94184.0,Pumpkin,19.99
94185.0,Pumpkin,19.99
94186.0,Pumpkin,19.99
94187.0,Bladder,29.99
94188.0,Omega Oil,11.99
94189.0,Yak Chew,17.99
94190.0,Pumpkin,19.99
94191.0,Pumpkin,19.99
94192.0,Yak Chew,14.99
94193.0,Yak Chew,17.99
94194.0,Allergy,31.99
94195.0,Yak Chew,69.99
94196.0,Yak Chew,29.99
94197.0,Pumpkin,19.99
94198.0,Pumpkin,19.99
94199.0,Yak Chew,99.98
94200.0,Allergy,31.99
94201.0,Allergy,31.99
94202.0,Allergy,31.99
94203.0,Omega Oil,55.959999999999994
94204.0,Omega Oil,11.99
94205.0,Pumpkin,33.99
94206.0,Pumpkin,121.96000000000001
94207.0,Omega Oil,11.99
94208.0,Pumpkin,19.99
94209.0,Pumpkin,19.99
94210.0,Yak Chew,17.99
94211.0,Bladder,29.99
94212.0,Omega Oil,19.99
94213.0,Probiotic,29.99
94213.0,Pumpkin,19.99
94214.0,Yak Chew,24.99
94215.0,Yak Chew,239.92000000000002
94216.0,Omega Oil,51.97
94217.0,Yak Chew,14.99
94218.0,Bone Broth,19.99
94219.0,Pumpkin,79.96
94220.0,Omega Oil,23.98
94221.0,Bone Broth,33.99
94222.0,Yak Chew,42.98
94223.0,Yak Chew,35.98
94224.0,Allergy,31.99
94225.0,Pumpkin,19.99
94226.0,Yak Chew,14.99
94227.0,Yak Chew,49.99
94228.0,Yak Chew,14.99
94229.0,Allergy,31.99
94230.0,Probiotic,29.99
94231.0,Pumpkin,33.99
94232.0,Pumpkin,39.98
94233.0,Bone Broth,19.99
94234.0,Yak Chew,39.99
94235.0,Probiotic,29.99
94236.0,Bone Broth,611.82
94237.0,Yak Chew,29.99
94238.0,Yak Chew,17.99
94239.0,Yak Chew,17.99
94240.0,Omega Oil,0.0
94241.0,Yak Chew,17.99
94242.0,Omega Oil,23.98
94243.0,Yak Chew,17.99
94244.0,Bone Broth,19.99
94245.0,Probiotic,59.98
94246.0,Omega Oil,11.99
94247.0,Yak Chew,64.98
94248.0,Yak Chew,17.99
94249.0,Pumpkin,203.94000000000003
94250.0,Probiotic,59.98
94251.0,Pumpkin,19.99
94252.0,Yak Chew,14.99
94253.0,Omega Oil,11.99
94254.0,Yak Chew,17.99
